WORD,OBSERVED,UNREDUC,PREC_STRESS,PREC_GRAMM_CLASS,PREC_SEG_M,PREC_SEG_P,CL_ENV,SUBJ_COMPLEXITY,NO_SYLLS,NO_WORDS,NO_PHRSE_BOUND,PRONOUN,NP,CONTEXT,SUBJ_DUR,PREC_WORD_DUR,WORDS_BTWN_HEAD_AUX,CONVO,SPEAKER,SEX,YOB,DIALECT,EDUC,LINE,NOTES,FOLLOWING_VERB,FOLLOWING_BROAD,CODER,CORPUS,YEAR_RECORDED,DATE_CODED,WORD_BEG,WORD_END,LINE_BEG,LINE_END,COMPLETE_SUBJ,PREC_WORD,FOLL_WORD
had,2,x,m,e,s,t,n,e,10,8,3,NA,NP,NA,1.730625,NA,NA,sw3793B,sw_1372,F,1955,WESTERN,2, [laughter-right] that was one good reason in Yosemite the person in the camper next to us had gotten hit by the bears that night so we were glad we were a little more secure,NA,gotten,gotten,LM,SWB,1991,firstpass,NA,NA,207.1605,217.78325,the person in the camper next to us,us,gotten
had,3,x,m,p,a,a,y,s,1,NA,NA,2s,pro,cf,NA,NA,NA,sw3839B,sw_1470,M,1944,SOUTH MIDLAND,2, [laughter-yeah] had somebody come through and he said my gosh if you had bought that at a store it'd been seven hundred and fifty dollars and i got out for about a hundred and forty five i think,NA,bought,mono_vb,LM,SWB,1991,firstpass,NA,NA,257.7165,267.19925,you,you,bought
had,3,x,u,n,s,t,n,m,3,2,1,NA,NP,cf,1.04,NA,NA,sw2131A,sw_1128,M,1933,SOUTH MIDLAND,2, [laughter] uh i'm i never played an instrument in my life i've always wanted to i've always wished my [laughter-parents] had forced me to learn the piano or something,cf = counterfactual,forced,mono_vb,LM,SWB,1991,firstpass,NA,NA,145.6145,158.282875,my parents,parents,forced
had,2,x,m,p,a,a,y,s,1,NA,NA,2s,pro,cf,NA,NA,NA,sw2748B,sw_1020,F,1956,NORTH MIDLAND,2, [laughter] yeah that's true uh so have you been happy with the painting that you've done or do you wish that you you had hired a professional or,"wish is counterfactual too, right?",hired,stress_vb,LM,SWB,1991,firstpass,NA,NA,567.070375,578.17675,you,you,hired
had,1,x,m,p,a,a,y,s,1,NA,NA,1s,pro,NA,NA,NA,NA,sw3758A,sw_1148,F,1959,SOUTH MIDLAND,3, [noise] and though i had agreed with some of the things he did i- i disagreed with that particular case because he um,NA,agreed,unstress_vb,LM,SWB,1991,firstpass,NA,NA,172.173875,179.12725,i,i,agreed
had,3,x,m,p,a,a,y,s,1,NA,NA,3s,pro,NA,NA,NA,NA,sw2958A,sw_1121,M,1937,NEW ENGLAND,2, [noise] and we got kind of concerned about him and then uh he had fallen in the street a couple of times but,NA,fallen,stress_vb,LM,SWB,1991,firstpass,NA,NA,176.53275,182.092625,he,he,fallen
had,2,x,m,p,a,a,y,s,1,NA,NA,1p,pro,NA,NA,NA,NA,sw3218B,sw_1410,F,1955,SOUTH MIDLAND,2, [noise] and we you know we had been looking for one so [noise] we were hoping to get one but this this one is,NA,been,been,LM,SWB,1991,firstpass,NA,NA,116.557,123.115,we,we,been
had,3,x,u,n,r,t,y,m,3,2,1,NA,NP,NA,0.73775,NA,NA,sw3277B,sw_1305,F,1942,NORTH MIDLAND,2, [noise] i don't know this is a new experience for us j[ust]- just mainly because my uh my mother had died which meant that we were coming into some money that we could,NA,died,died,LM,SWB,1991,firstpass,NA,NA,158.00025,168.999375,my mother,mother,died
had,3,x,m,n,t,k,n,m,2,3,1,NA,NP,NA,0.55,NA,NA,sw3650A,sw_1467,M,1955,WESTERN,3, [noise] it was like the the uh clock had been turned back about ten or fifteen years,NA,been,been,LM,SWB,1991,firstpass,NA,NA,199.56125,204.063,the uh clock,clock,been
had,2,x,u,n,r,t,y,m,3,2,1,NA,NP,NA,0.54825,NA,NA,sw3501A,sw_1444,F,1962,WESTERN,1, [noise] my neighbor had given her children each a a a a bunny rabbit for Easter,NA,given,given,LM,SWB,1991,firstpass,NA,NA,214.769625,220.14775,my neighbor,neighbor,given
had,2,x,u,n,l,t,y,s,2,1,1,NA,NP,NA,0.29,NA,NA,sw3477A,sw_1400,F,1942,MIXED,2, [noise] so that would have made a big difference if people had turned out for his opponent [laughter],NA,turned,mono_vb,LM,SWB,1991,firstpass,NA,NA,42.9105,47.726875,people,people,turned
had,2,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw2501A,sw_1072,F,1941,SOUTH MIDLAND,2, [noise] the um it had been vacant for a while because the family had retired to Arizona but the daughter was a real estate agent and she was selling it and it'd been lived in briefly by her before she bought her town house [noise] so she told us that the house had been,NA,been,been,LM,SWB,1991,firstpass,NA,NA,138.35925,150.80425,it,it,been
had,1,x,u,n,a,a,y,m,3,2,1,NA,NP,NA,0.41,NA,NA,sw2501A,sw_1072,F,1941,SOUTH MIDLAND,2, [noise] the um it had been vacant for a while because the family had retired to Arizona but the daughter was a real estate agent and she was selling it and it'd been lived in briefly by her before she bought her town house [noise] so she told us that the house had been,NA,retired,unstress_vb,LM,SWB,1991,firstpass,NA,NA,138.35925,150.80425,the family,family,retired
had,3,x,m,p,t,t,n,s,1,NA,NA,it,pro,NA,NA,NA,NA,sw2501A,sw_1072,F,1941,SOUTH MIDLAND,2, [noise] the um it had been vacant for a while because the family had retired to Arizona but the daughter was a real estate agent and she was selling it and it'd been lived in briefly by her before she bought her town house [noise] so she told us that the house had been,"though really more of a schwa, or maybe ""i'd""",been,been,LM,SWB,1991,firstpass,NA,NA,138.35925,150.80425,it,it,been
had,2,x,m,n,s,t,n,m,2,2,1,NA,NP,NA,0.38,NA,NA,sw2501A,sw_1072,F,1941,SOUTH MIDLAND,2, [noise] the um it had been vacant for a while because the family had retired to Arizona but the daughter was a real estate agent and she was selling it and it'd been lived in briefly by her before she bought her town house [noise] so she told us that the house had been,NA,been,been,LM,SWB,1991,5/9/11,NA,NA,138.35925,150.80425,the house,house,been
