WORD,OBSERVED,UNREDUC,PREC_STRESS,PREC_GRAMM_CLASS,PREC_SEG_M,PREC_SEG_P,CL_ENV,SUBJ_COMPLEXITY,NO_SYLLS,NO_WORDS,NO_PHRSE_BOUND,PRONOUN,NP,CONTEXT,SUBJ_DUR,PREC_WORD_DUR,WORDS_BTWN_HEAD_AUX,CONVO,SPEAKER,SEX,YOB,DIALECT,EDUC,LINE,NOTES,FOLLOWING_VERB,FOLLOWING_BROAD,CODER,CORPUS,YEAR_RECORDED,DATE_CODED,WORD_BEG,WORD_END,LINE_BEG,LINE_END,COMPLETE_SUBJ,PREC_WORD,FOLL_WORD,SUBJ_PARSE,SUBJ_DEPTH,FULL_PARSE
has,2,x,u,n,a,a,y,s,4,1,1,NA,NP,NA,0.51,NA,NA,sw2231.mrg,sw_1138,F,1961,SOUTH MIDLAND,2, and are now now that even though California has reinstated the death penalty,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,240.0375,244.447875,California,California,reinstated,(NP-SBJ (NNP California)),3,"(S-UNF
  (EDITED (ADVP-TMP (RB now) (RS (-DFL- \])) (SBAR-UNF (IN that))))
  (SBAR-ADV
    (RB even)
    (IN though)
    (S
      (NP-SBJ (NNP California))
      (VP
        (VBZ has)
        (VP
          (VBN reinstated)
          (NP
            (NP (DT the) (NN death) (NN penalty))
            (, ,)
            (PP
              (IN for)
              (NP (WDT whatever) (JJ various) (NNS crimes))))))))
  (. .)
  (-DFL- N_S))"
has,4,x,m,prep,a,a,y,e,9,6,2,NA,NP,NA,1.220375,NA,NA,sw2078.mrg,sw_1071,F,1951,SOUTH MIDLAND,3, and everybody else that i've talked to has been right around here,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,382.080625,386.01025,everybody else that i've talked to,to,been,"(NP-SBJ
  (NP (NN everybody))
  (ADVP (RB else))
  (SBAR
    (WHNP-1 (WDT that))
    (S
      (NP-SBJ (PRP I))
      (VP
        (VBP 've)
        (VP (VBN talked) (PP (IN to) (NP (-NONE- *T*-1))))))))",9,"(S
  (CC And)
  (, ,)
  (NP-SBJ
    (NP (NN everybody))
    (ADVP (RB else))
    (SBAR
      (WHNP-1 (WDT that))
      (S
        (NP-SBJ (PRP I))
        (VP
          (VBP 've)
          (VP (VBN talked) (PP (IN to) (NP (-NONE- *T*-1))))))))
  (VP
    (VBZ has)
    (VP
      (VBN been)
      (PP-LOC-PRD (ADVP (RB right)) (IN around) (ADVP (RB here)))))
  (. .)
  (-DFL- E_S))"
has,4,x,m,adv,r,t,y,m,2,2,1,NA,NP,NA,0.895,NA,NA,sw2160.mrg,sw_1123,F,1956,SOUTH MIDLAND,3, and that certainly is one reason why crime here has increased,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,124.110625,129.4985,crime here,here,increased,(NP-SBJ (NP (NN crime)) (ADVP-LOC (RB here))),4,"(S
  (CC And)
  (NP-SBJ (DT that))
  (ADVP (RB certainly))
  (VP
    (VBZ is)
    (NP-PRD
      (NP (CD one) (NN reason))
      (SBAR
        (WHADVP-1 (WRB why))
        (S
          (NP-SBJ (NP (NN crime)) (ADVP-LOC (RB here)))
          (VP
            (VBZ has)
            (VP (VBN increased) (ADVP-PRP (-NONE- *T*-1))))))))
  (. .)
  (-DFL- E_S))"
has,1,x,u,n,r,t,y,m,5,2,1,NA,NP,NA,0.72,NA,NA,sw2314.mrg,sw_1086,F,1965,SOUTHERN,2, and you know your supervisor has accused you of using drugs,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,243.00675,247.731,your supervisor,supervisor,accused,(NP-SBJ (PRP$ your) (NN supervisor)),3,"(SBARQ
  (CONJP (CC And) (RB then))
  (WHADVP-3 (WRB how))
  (SQ
    (MD would)
    (NP-SBJ (PRP you))
    (VP
      (VBP feel)
      (ADVP-TMP (RB afterwards))
      (SBAR-TMP
        (WHADVP-2 (WRB when))
        (S
          (S
            (NP-SBJ-4 (PRP you))
            (VP
              (VBD came)
              (PRT (RP up))
              (S (NP-SBJ (-NONE- *-4)) (ADJP-PRD (JJ negative)))))
          (CC and)
          (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,))
          (S
            (NP-SBJ (PRP$ your) (NN supervisor))
            (VP
              (VBZ has)
              (VP
                (VBN accused)
                (NP-1 (PRP you))
                (PP
                  (IN of)
                  (S-NOM
                    (NP-SBJ (-NONE- *-1))
                    (VP (VBG using) (NP (NNS drugs))))))))
          (ADVP-TMP (-NONE- *T*-2))))
      (ADVP-MNR (-NONE- *T*-3))))
  (. .)
  (-DFL- E_S))"
has,2,x,m,n,s,t,n,m,2,2,1,NA,NP,NA,0.354875,NA,NA,sw2028.mrg,sw_1101,M,1939,SOUTH MIDLAND,3, green you know the grass has been growing and,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,116.535875,121.154,the grass,grass,been,(NP-SBJ (DT the) (NN grass)),3,"(S
  (NP-SBJ (DT the) (NN grass))
  (VP (VBZ has) (VP (VBN been) (VP (VBG growing))))
  (-DFL- E_S))"
has,4,x,u,n,t,t,y,s,2,2,1,NA,NP,NA,1.27,NA,NA,sw2171.mrg,sw_1055,F,1965,SOUTH MIDLAND,2, i c[an't]- i can't imagine and the switchboard's been down for several days and the last time i called it before it went down,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,383.9775,392.37275,the switchboard,switchboard,been,NA,NA,"(S
  (CC and)
  (NP-TMP
    (NP (DT the) (JJ last) (NN time))
    (SBAR
      (WHADVP-1 (-NONE- 0))
      (S
        (NP-SBJ (PRP I))
        (VP
          (VBD called)
          (NP (PRP it))
          (SBAR-TMP
            (IN before)
            (S (NP-SBJ (PRP it)) (VP (VBD went) (ADVP (RP down)))))
          (ADVP-TMP (-NONE- *T*-1))))))
  (, ,)
  (NP-SBJ (PRP I))
  (VP (VBD had) (NP (DT this) (NN topic)))
  (, ,)
  (-DFL- E_S))"
has,4,x,u,n,r,t,y,m,4,2,1,NA,NP,NA,0.59,NA,NA,sw2093.mrg,sw_1069,M,1950,SOUTH MIDLAND,2, i could do with a little less wind but i think the the temperature's been pretty good so far for working outside,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,102.46275,108.32625,the temperature,temperature,been,(NP-SBJ (DT the) (RS (-DFL- \])) (NN temperature)),4,"(S
  (CC but)
  (NP-SBJ (PRP I))
  (VP
    (VBP think)
    (SBAR
      (-NONE- 0)
      (S
        (EDITED
          (RM (-DFL- \[))
          (NP-UNF (DT the))
          (, ,)
          (IP (-DFL- \+)))
        (NP-SBJ (DT the) (RS (-DFL- \])) (NN temperature))
        (VP
          (VBZ has)
          (VP
            (VBN been)
            (ADJP-PRD (RB pretty) (JJ good) (PP (-NONE- *ICH*-1)))
            (ADVP-TMP (RB so) (RB far))
            (PP-1
              (IN for)
              (S-NOM
                (NP-SBJ (-NONE- *))
                (VP (VBG working) (ADVP-LOC (RB outside))))))))))
  (. .)
  (-DFL- E_S))"
has,2,x,u,n,t,p,y,m,3,2,1,NA,NP,NA,0.556,NA,NA,sw2008.mrg,sw_1176,F,1959,MIXED,2, i guess down here uh we just recently moved to Texas so my wardrobe has changed quite a bit um we moved from Colorado where and i have a closet full of sweaters that,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,147.469375,160.087,my wardrobe,wardrobe,changed,(NP (PRP$ my) (NN wardrobe)),3,"(S
  (NP-SBJ-1 (PRP I))
  (VP
    (VBP 've)
    (ADVP-TMP (RB recently))
    (, ,)
    (INTJ (UH um))
    (, ,)
    (VP
      (VBN tried)
      (S
        (NP-SBJ (-NONE- *-1))
        (VP (TO to) (VP (VB update) (NP (PRP$ my) (NN wardrobe)))))
      (, ,)
      (S-ADV
        (NP-SBJ-4 (-NONE- *-1))
        (VP
          (VBG trying)
          (S
            (NP-SBJ (-NONE- *-4))
            (VP
              (TO to)
              (VP
                (VB put)
                (NP (NP (NNS suits)) (SBAR (-NONE- *ICH*-2)))
                (ADVP (RB together))
                (SBAR-2
                  (WHNP-3 (WDT that))
                  (S
                    (NP-SBJ (PRP I))
                    (VP
                      (MD can)
                      (VP
                        (VB interchange)
                        (, ,)
                        (NP
                          (NP (-NONE- *T*-3))
                          (NP
                            (NP (DT the) (, ,) (NNS jackets))
                            (CC and)
                            (NP (DT the) (NNS blouses))
                            (CC and)
                            (NP (PDT all) (DT that))))
                        (NP-ADV (DT a) (NN lot)))))))))))))
  (. .)
  (-DFL- E_S))"
has,2,x,m,n,a,a,y,m,4,3,1,NA,NP,NA,0.61,NA,NA,sw2220.mrg,sw_1071,F,1951,SOUTH MIDLAND,3, i mean you can just sit you know those little booklets that come along with it and you can jus[t]- see the things that they're trying to show with music my my little boy has gotten so into it that he's identified the the people that have written certain songs and he buys the,more like [hIz],NA,NA,LM,SWB,1991,firstpass,NA,NA,180.740375,195.157125,my little boy,boy,gotten,NA,NA,"(S
  (CC and)
  (NP-SBJ (PRP you))
  (VP
    (MD can)
    (ADVP (RB just))
    (VP
      (VB see)
      (NP
        (NP (DT the) (NNS things))
        (SBAR
          (WHNP-1 (WDT that))
          (S
            (NP-SBJ-2 (PRP they))
            (VP
              (VBP 're)
              (VP
                (VBG trying)
                (S
                  (NP-SBJ (-NONE- *-2))
                  (VP
                    (TO to)
                    (VP
                      (VB show)
                      (NP (-NONE- *T*-1))
                      (PP (IN with) (NP (NN music)))))))))))))
  (. .)
  (-DFL- E_S))"
has,3,x,m,e,s,t,n,e,6,5,2,NA,NP,NA,0.86,NA,NA,sw4013.mrg,sw_1390,M,1942,WESTERN,3, i think the hardest thing for us has been is to find ac[tivities]- you know leisure time activities that all of our kids can enjoy together,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,118.689,125.326375,the hardest thing for us,us,been,"(NP-SBJ
  (NP (DT the) (JJS hardest) (NN thing))
  (PP (IN for) (NP (PRP us))))",5,"(S
  (NP-SBJ (PRP I))
  (VP
    (VBP think)
    (SBAR
      (-NONE- 0)
      (S
        (NP-SBJ
          (NP (DT the) (JJS hardest) (NN thing))
          (PP (IN for) (NP (PRP us))))
        (EDITED
          (RM (-DFL- \[))
          (VP (VBZ has) (VP-UNF (VBN been)))
          (, ,)
          (IP (-DFL- \+)))
        (VP
          (VBZ is)
          (RS (-DFL- \]))
          (S-PRD
            (NP-SBJ (-NONE- *))
            (VP
              (TO to)
              (VP
                (VB find)
                (EDITED
                  (RM (-DFL- \[))
                  (NP-UNF (XX ac-))
                  (, ,)
                  (IP (-DFL- \+)))
                (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,))
                (NP
                  (NP (JJ leisure) (NN time) (NNS activities))
                  (RS (-DFL- \]))
                  (SBAR
                    (WHNP-1 (WDT that))
                    (S
                      (NP-SBJ
                        (NP (DT all))
                        (PP (IN of) (NP (PRP$ our) (NNS kids))))
                      (VP
                        (MD can)
                        (VP
                          (VB enjoy)
                          (NP (-NONE- *T*-1))
                          (ADVP (RB together))))))))))
          (PP
            (IN with)
            (NP
              (NP (DT the) (NN age) (NN span))
              (SBAR
                (WHNP-2 (WDT that))
                (S
                  (NP-SBJ (PRP we))
                  (VP (VBP have) (NP (-NONE- *T*-2))))))))))
    (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))
  (, ,)
  (-DFL- E_S))"
has,2,x,u,n,l,t,y,m,7,4,1,NA,NP,NA,1.28,NA,NA,sw2819.mrg,sw_1059,M,1963,SOUTH MIDLAND,2, i'd say my own personal lifestyle has improved but that's more a matter of,adjective?,NA,NA,LM,SWB,1991,firstpass,NA,NA,83.87725,88.539,my own personal lifestyle,lifestyle,improved,(NP-SBJ (PRP$ my) (JJ own) (JJ personal) (NN lifestyle)),3,"(S
  (NP-SBJ (PRP I))
  (VP
    (MD 'd)
    (VP
      (VB say)
      (SBAR
        (-NONE- 0)
        (S
          (NP-SBJ (PRP$ my) (JJ own) (JJ personal) (NN lifestyle))
          (VP (VBZ has) (VP (VBN improved)))))))
  (-DFL- E_S))"
has,4,x,u,n,a,a,y,m,7,3,1,NA,NP,NA,0.96,NA,NA,sw3344.mrg,sw_1420,M,1966,NORTH MIDLAND,2, i[t]- it wouldn't hurt and i know the Independent Party's been trying for years to get a a a real force in in the uh in Congress but uh you're right there's just too many,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,210.75475,223.3415,the Independent Party,Party,been,(NP-SBJ-1 (DT the) (NNP Independent) (NNP Party)),3,"(S
  (CC and)
  (NP-SBJ (PRP I))
  (VP
    (VBP know)
    (SBAR
      (-NONE- 0)
      (S
        (NP-SBJ-1 (DT the) (NNP Independent) (NNP Party))
        (VP
          (HVS 's)
          (VP
            (VBN been)
            (VP
              (VBG trying)
              (PP-TMP (IN for) (NP (NNS years)))
              (S
                (NP-SBJ (-NONE- *-1))
                (VP
                  (TO to)
                  (VP
                    (VB get)
                    (EDITED
                      (RM (-DFL- \[))
                      (EDITED
                        (RM (-DFL- \[))
                        (NP-UNF (DT a))
                        (, ,)
                        (IP (-DFL- \+)))
                      (NP-UNF (DT a))
                      (, ,)
                      (RS (-DFL- \]))
                      (IP (-DFL- \+)))
                    (NP (DT a) (RS (-DFL- \])) (JJ real) (NN force))
                    (EDITED
                      (RM (-DFL- \[))
                      (EDITED
                        (RM (-DFL- \[))
                        (PP-LOC-UNF (IN in))
                        (, ,)
                        (IP (-DFL- \+)))
                      (PP-LOC (IN in) (NP-UNF (DT the)))
                      (, ,)
                      (RS (-DFL- \]))
                      (IP (-DFL- \+)))
                    (INTJ (UH uh))
                    (, ,)
                    (PP-LOC (IN in) (NP (NNP Congress))))))))))))
  (, ,)
  (RS (-DFL- \]))
  (-DFL- E_S))"
has,2,x,m,n,s,t,n,m,2,2,1,NA,NP,NA,0.38,NA,NA,sw2566.mrg,sw_1106,F,1964,SOUTH MIDLAND,2, it's hard to tell how much has been that or how much is just her,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,292.44425,297.41275,how much,much,been,(WHNP-1 (WHADJP (WRB how) (RB much))),4,"(S
  (NP-SBJ (NP (PRP it)) (S (-NONE- *EXP*-3)))
  (VP
    (BES 's)
    (ADJP-PRD (JJ hard))
    (S-3
      (NP-SBJ (-NONE- *))
      (VP
        (TO to)
        (VP
          (VB tell)
          (SBAR
            (SBAR
              (WHNP-1 (WHADJP (WRB how) (RB much)))
              (S
                (NP-SBJ (-NONE- *T*-1))
                (VP (VBZ has) (VP (VBN been) (NP-PRD (DT that))))))
            (CC or)
            (SBAR
              (WHNP-2 (WHADJP (WRB how) (RB much)))
              (S
                (NP-SBJ (-NONE- *T*-2))
                (VP (VBZ is) (ADVP (RB just)) (NP-PRD (PRP$ her))))))))))
  (. .)
  (-DFL- E_S))"
has,2,x,m,adj,s,t,n,m,5,2,1,NA,NP,NA,0.49,NA,NA,sw3420.mrg,sw_1367,F,1955,NYC,2, just just kind of going by word of mouth and finding out if anybody else has been pleased with their program that kind of stuff,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,60.84475,70.0045,anybody else,else,been,(NP-SBJ (NP (NN anybody)) (ADVP (RB else))),4,"(FRAG
  (CC and)
  (, ,)
  (INTJ (UH um))
  (, ,)
  (EDITED (RM (-DFL- \[)) (ADVP (RB just)) (, ,) (IP (-DFL- \+)))
  (ADVP (RB just))
  (RS (-DFL- \]))
  (ADVP (RB kind) (RB of))
  (NP
    (S-NOM
      (NP-SBJ (-NONE- *))
      (VP
        (VP
          (VBG going)
          (PP
            (IN by)
            (NP (NP (NN word)) (PP (IN of) (NP (NN mouth))))))
        (CC and)
        (VP
          (VBG finding)
          (PRT (RP out))
          (SBAR
            (IN if)
            (S
              (NP-SBJ (NP (NN anybody)) (ADVP (RB else)))
              (VP
                (VBZ has)
                (VP
                  (VBN been)
                  (ADJP-PRD
                    (JJ pleased)
                    (PP (IN with) (NP (PRP$ their) (NN program)))))))))))
    (NP (NP (DT that) (NN kind)) (PP (IN of) (NP (NN stuff)))))
  (. .)
  (-DFL- N_S))"
has,4,x,m,n,t,t,y,m,2,2,1,NA,NP,NA,0.34,NA,NA,sw3365.mrg,sw_1367,F,1955,NYC,2, maybe like thirty minutes and then you debone them and and kind of shred them up if the meat's gotten cooled and you take um,NA,NA,NA,LM,SWB,1991,firstpass,NA,NA,282.636125,290.024625,the meat,meat,gotten,(NP (DT the) (NN meat)),3,"(S
  (CONJP (CC and) (RB then))
  (NP-SBJ (PRP you))
  (VP
    (VP (NN debone) (NP (PRP them)))
    (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+)))
    (CC and)
    (RS (-DFL- \]))
    (VP
      (ADVP (RB kind) (RB of))
      (VB shred)
      (NP (PRP them))
      (PRT (RP up))
      (PP
        (IN into)
        (NP
          (NP (DT the) (NN meat))
          (SBAR
            (WHNP-1 (WDT that))
            (S
              (NP-SBJ-2 (-NONE- *T*-1))
              (VP
                (VBZ has)
                (VP (VBN gotten) (VP (VBN cooled) (NP (-NONE- *-2)))))))))))
  (-DFL- E_S))"
